
ANNUAL REVISION FOR 2003

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2003

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
Paraguay                                             53.3                    132
Peru                                              2,408.7                     52
Philippines                                      10,059.0                     25
Pitcairn Island                                       0.5                    210
Poland                                            1,323.7                     62
Portugal                                          1,967.0                     58
Qatar                                               331.4                     91
Republic of Yemen                                    66.2                    125
Reunion                                               2.1                    191
Romania                                             730.2                     70
Russia                                            8,617.9                     28
Rwanda                                                2.6                    189
San Marino                                            9.4                    162
Sao Tome and Principe                                 0.1                    221
Saudi Arabia                                     18,068.6                     13
Senegal                                               4.5                    175
Serbia and Montenegro                                14.8                    148
Seychelles                                           13.0                    154
Sierra Leone                                          6.5                    166
Singapore                                        15,137.7                     17
Slovakia                                          1,009.3                     66
Slovenia                                            484.4                     76
Solomon Islands                                       0.9                    203
Somalia                                               0.2                    218
South Africa                                      4,624.4                     34
Spain                                             6,676.7                     29
Sri Lanka                                         1,808.0                     59
St Helena                                             5.6                    172
St Kitts and Nevis                                   44.6                    134
St Lucia                                             13.0                    153
St Pierre and Miquelon                                2.6                    188
St Vincent and the Grenadines                         4.1                    179
Sudan                                                 2.8                    187
Suriname                                            140.1                    113
Svalbard, Jan Mayen Island                             (-)                   229
Swaziland                                           162.2                    111
Sweden                                           11,119.2                     20
Switzerland                                      10,685.3                     22
Syria                                               246.1                    101
Taiwan                                           31,599.4                      8
Tajikistan                                            7.3                    165
Tanzania                                             24.2                    143
Thailand                                         15,178.5                     16
Togo                                                  5.8                    170
Tokelau                                               6.3                    167
Tonga                                                13.1                    152
Trinidad and Tobago                               4,333.8                     39
Tunisia                                             102.4                    116
Turkey                                            3,788.2                     41
Turkmenistan                                         76.4                    123
Turks and Caicos Islands                              6.1                    168
Tuvalu                                                 (-)                   225
Uganda                                               34.8                    139
Ukraine                                             262.4                     97
United Arab Emirates                              1,128.0                     65
United Kingdom                                   42,795.0                      6
Uruguay                                             255.7                     99
Uzbekistan                                           83.6                    120
Vanuatu                                               0.7                    204
Vatican City                                          0.6                    207
Venezuela                                        17,136.1                     15
Vietnam                                           4,554.8                     36
Wallis and Futuna                                      (-)                   224
West Bank Administered by Israel                      0.5                    211
Western Sahara                                         (-)                   226
Western Samoa                                         4.4                    176
Zambia                                               12.5                    157
Zimbabwe                                             56.6                    129
Unidentified                                           (-)                    (X)
North America                                   359,654.6                     (X)
Western Europe                                  266,277.1                     (X)
Euro Area                                       187,203.7                     (X)
European Union (EU)                             244,826.2                     (X)
European Free Trade Association                  16,460.8                     (X)
Eastern Europe                                   18,319.8                     (X)
Former Soviet Republics                          10,716.2                     (X)
Organization for Economic
  Cooperation & Develop-
  ment (OECD) in Europe                         265,106.2                     (X)
Pacific Rim Countries                           418,966.0                     (X)
Asia -- Near East                                41,470.3                     (X)
Asia -- (NICS)                                   92,817.7                     (X)
Asia -- South                                    19,695.8                     (X)
Assoc. of South East Asia
  Nations (ASEAN)                                81,849.8                     (X)
APEC                                            811,730.2                     (X)
South/Central America                            78,829.1                     (X)
Twenty Latin American Republics                 209,493.7                     (X)
Central American Common Market                   12,413.3                     (X)
Latin American Free Trade
  Association                                   191,991.1                     (X)
North Atlantic Treaty Organization
  (NATO) Allies                                 478,606.3                     (X)
Organization of Petroleum Exporting
  Countries (OPEC)                               68,343.9                     (X)
Unidentified                                                                  (X)
 
